,Name,National ID,Barcode,Location,Date,Season,Country,Province,Species,Species (English),Breed/subspecies,Sex,Date of birth,Age (days),Age_category,Country of birth,Born at current residence,Bodyweight (kg),Breed line,Breed country of origin,Breed_type,White_breed,Traditional use,Establishment type,Husbandry intensity,Inside/outside,Additional outside access,Outdoor_access,Outside environment,Soil present,Bedding material,Bedding_present,Straw_present,Slatted floor,No. animals in enclosure,Housed with other species,Other species,Weaning age (days),Given formula milk,Creep feed,Creep_what,Creep_consistency,Water content (%),PSS,Dietary regimen,Feed name,Feed ingredients,Crude protein,Protein_category,Crude fat,Crude ash,Crude fibre,Fibre_category,Carbohydrates,Calcium,Phosphorous,Sodum,Lysine,Methionine,Organic/standard,Environmental food,Dietary supplementation,Purely_commercial_diet,Dairy_in_diet,First_feed_ingredient,Acetic_acid_mM/g,Propionic_acid_mM/g,Isobutyric_acid_mM/g,Butyric_acid_mM/g,Isovaleric_acid_mM/g,Valeric_acid_mM/g,Isocaproic_acid_mM/g,Caproic_acid_mM/g,Enanthic_acid_mM/g,Total_SCFA_mM/g,Total_BCFA_mM/g,Total_MCFA_mM/g,Total_VFA_mM/g,AA%,PA%,IBA%,BA%,IVA%,VA%,ICA%,CA%,EA%,SCFA%,BCFA%,MCFA%,Ratio_AA,Ratio_PA,Ratio_BA,Medical conditions,Medication,Antibiotics,Recent_antibiotics,Worming,Immunisations,Farrowed,Last farrowing,Gestating,Nursing,Parity,Castrated,Chemical/physical,Seq_run,Relatives/cohabitants,Sample storage information,Additional information,ID,numerical_age_category,DMM_cluster,cluster_lda,Simpson
01BE01,Buzz,503002,bc1005--bc1065,01BE,04/04/2022,Spring,Belgium,Antwerpen,Sus cebrifrons,Visayan warty pig,Negros Island,Male,01/06/2010,4325.0,Mature,United Kingdom,No,,,Wild,Wild,No,Wild,Zoo,Small-scale,Both,Yes,Yes,Field (trees and shrubs),Yes,Wood chips and straw,Yes,Yes,No,2,No,,,,,,,72.42424242,4.0,2x daily; scattered in indoor and outdoor enclosures,Versele-Laga herbivore pellet,"75g herbivore pellets, 75g Alfamix swine garvo, 150g celery, 150g endive, 150g carrots, 150g cucumber, 150g apple, 150g pear, 200g grass hay, 200g fresh grass, 100g fresh leaves (Summer)","14,25",Low,"3,23",,19.4,Very high,,,,,,,Organic,Wild plants and insects,Vitamin E,No,No,Linseed+wheat,"87,74501391","31,15839436","3,601437146","12,23348868","4,010519387","2,569112154","0,711071294",0,0,133.7060091,"8,323027827",0,"142,0290369","61,78","21,94","2,54","8,61","2,82","1,81","0,50","0,00","0,00","94,14","5,86","0,00","0,67","0,24","0,09",Apathy and loss of appetite - Sep. 2020,Anti-inflammatory - Sep. 2020,Yes - Sep. 2020,No,Yes,,,,,,,No,,NAMES02,Shares an enclosure with 01BE03. Father of 01BE04,A few days -20°C,,01BE01,5,5,cluster 6,0.99707846
01BE02,Marga,503004,bc1007--bc1065,01BE,04/04/2022,Spring,Belgium,Antwerpen,Sus cebrifrons,Visayan warty pig,Negros Island,Female,15/02/2003,6988.0,Mature,Philippines,No,,,Wild,Wild,No,Wild,Zoo,Small-scale,Both,Yes,Yes,Field (trees and shrubs),Yes,Wood chips and straw,Yes,Yes,No,1,No,,,,,,,69.1318328,3.0,2x daily; scattered in indoor and outdoor enclosures,Versele-Laga herbivore pellet,"75g herbivore pellets, 75g Alfamix swine garvo, 150g celery, 150g endive, 150g carrots, 150g cucumber, 150g apple, 150g pear, 200g grass hay, 200g fresh grass, 100g fresh leaves (Summer)","14,25",Low,"3,23",,19.4,Very high,,,,,,,Organic,Wild plants and insects,Vitamin E,No,No,Linseed+wheat,"252,6820221","65,5486744","6,339875372","29,02918917","7,471866927","4,399504453","0,696338108",0,0,351.6593901,"14,50808041",0,"366,1674705","69,01","17,90","1,73","7,93","2,04","1,20","0,19","0,00","0,00","96,04","3,96","0,00","0,73","0,19","0,08",,,,No,Yes,,Yes,2 years,No,No,,,,NAMES02,Mother of 01BE04,A few days -20°C,,01BE02,5,6,cluster 6,0.979828313
01BE03,Matapang,503009,bc1008--bc1065,01BE,04/04/2022,Spring,Belgium,Antwerpen,Sus cebrifrons,Visayan warty pig,Negros Island,Female,23/04/2011,3999.0,Mature,Netherlands,No,,,Wild,Wild,No,Wild,Zoo,Small-scale,Both,Yes,Yes,Field (trees and shrubs),Yes,Wood chips and straw,Yes,Yes,No,2,No,,,,,,,69.20731707,3.0,2x daily; scattered in indoor and outdoor enclosures,Versele-Laga herbivore pellet,"75g herbivore pellets, 75g Alfamix swine garvo, 150g celery, 150g endive, 150g carrots, 150g cucumber, 150g apple, 150g pear, 200g grass hay, 200g fresh grass, 100g fresh leaves (Summer)","14,25",Low,"3,23",,19.4,Very high,,,,,,,Organic,Wild plants and insects,Vitamin E,No,No,Linseed+wheat,"103,4651539","35,83901617","4,194682546","13,42889159","4,703494308","2,683715341","0,740400564",0,0,155.416777,"9,638577419",0,"165,0553544","62,69","21,71","2,54","8,14","2,85","1,63","0,45","0,00","0,00","94,16","5,84","0,00","0,68","0,23","0,09",,,,No,Yes,,No,,Yes,,,,,NAMES02,,A few days -20°C,,01BE03,5,5,cluster 6,0.997151922
01BE04,Vladimir,503015,bc1012--bc1065,01BE,05/04/2022,Spring,Belgium,Antwerpen,Sus cebrifrons,Visayan warty pig,Negros Island,Male,26/07/2020,618.0,Mature,Belgium,Yes,,,Wild,Wild,No,Wild,Zoo,Small-scale,Both,Yes,Yes,"Field (trees, shrubs, pool)",Yes,Straw,Yes,Yes,No,2,Yes,Indian rhino,14 months,No,,,,75.0,4.0,3x daily,Versele-Laga herbivore pellet,"75g herbivore pellets, 75g Alfamix swine garvo, 150g celery, 150g endive, 150g carrots, 150g cucumber, 150g apple, 150g pear, 200g grass hay, 200g fresh grass, 100g fresh leaves (Summer)","14,25",Low,"3,23",,19.4,Very high,,,,,,,Organic,Wild plants and insects,Vitamin E,No,No,Linseed+wheat,"190,8684427","57,21238881","6,301912335","28,36167046","6,725744848","3,054196447","0,656791128",0,0,279.4966984,"13,68444831",0,"293,1811467","65,10","19,51","2,15","9,67","2,29","1,04","0,22","0,00","0,00","95,33","4,67","0,00","0,69","0,21","0,10",,,,No,Yes,,,,,,,No,,NAMES02,Son of 01BE01 (father) and 01BE02 (mother),A few days -20°C,,01BE04,5,5,cluster 6,0.996293371
01BE05,Nona,516001,bc1015--bc1065,01BE,06/04/2022,Spring,Belgium,Antwerpen,Sus scrofa domesticus,Domestic pig,Vietnamese pot-bellied,Female,21/08/2013,3150.0,Mature,Germany,No,,,Vietnam,Traditional,No,Fatty,Zoo,Small-scale,Both,Yes,Yes,Field (trees),Yes,Straw,Yes,Yes,No,2,No,,,,,,,54.66666667,1.0,1x daily,,"600g Alfamix swine garvo, 200g andijvia, 200g celery, 200g savooia, 200g carrots","13,34",Low,"5,73",,12.35,Very high,,,,,,,Organic,Wild plants and insects,No,No,No,Linseed,"84,2162493","31,01562739","3,137768745","11,61453979","3,435774979","2,340993389",0,0,0,129.1874099,"6,573543724",0,"135,7609536","62,03","22,85","2,31","8,56","2,53","1,72","0,00","0,00","0,00","95,16","4,84","0,00","0,66","0,24","0,09",,,,No,Yes,,No,,,,,,,NAMES02,Sister of 01BE06,A few days -20°C,,01BE05,5,7,cluster 6,0.994374164
01BE06,Nala,516003,bc1020--bc1065,01BE,06/04/2022,Spring,Belgium,Antwerpen,Sus scrofa domesticus,Domestic pig,Vietnamese pot-bellied,Female,21/08/2013,3150.0,Mature,Germany,No,,,Vietnam,Traditional,No,Fatty,Zoo,Small-scale,Both,Yes,Yes,Field (trees),Yes,Straw,Yes,Yes,No,2,No,,,,,,,51.39318885,1.0,1x daily,,"600g Alfamix swine garvo, 200g andijvia, 200g celery, 200g savooia, 200g carrots","13,34",Low,"5,73",,12.35,Very high,,,,,,,Organic,Wild plants and insects,No,No,No,Linseed,"107,7778604","36,49466677","3,673376432","15,94944737","4,006942552","3,009287166","0,69518268",0,0,163.2312617,"8,375501663",0,"171,6067634","62,81","21,27","2,14","9,29","2,33","1,75","0,41","0,00","0,00","95,12","4,88","0,00","0,67","0,23","0,10",,,,No,Yes,,No,,,,,,,NAMES02,Sister of 01BE05,A few days -20°C,,01BE06,5,7,cluster 6,0.993217652
02BE01,,,bc1022--bc1065,02BE,11/10/2021,Autumn,Belgium,Oost-Vlaanderen,Sus scrofa domesticus,Domestic pig,Danish Landrace x Dutch Landrace,Unknown,29/08/2021,43.0,Nursery,Belgium,Yes,,,Denmark x Netherlands,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,Yes,No,,No,,No,No,Yes,Unknown,No,,,,Yes,Control,Solid,,,,,,,,,,,,,,,,,,Organic,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES02,,A few months -20°C,Sow number: 275,02BE01,1,5,cluster 6,0.992625679
02BE03,,,bc1024--bc1065,02BE,11/10/2021,Autumn,Belgium,Oost-Vlaanderen,Sus scrofa domesticus,Domestic pig,Danish Landrace x Dutch Landrace,Unknown,27/08/2021,45.0,Nursery,Belgium,Yes,,,Denmark x Netherlands,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,Yes,No,,No,,No,No,Yes,Unknown,No,,,,Yes,"Whole plant silage: triticale, faba beans",Solid,,,,,,,,,,,,,,,,,,Organic,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES02,,A few months -20°C,Sow number: 242,02BE03,1,5,cluster 6,0.99437155
02BE05,,,bc1005--bc1075,02BE,11/10/2021,Autumn,Belgium,Oost-Vlaanderen,Sus scrofa domesticus,Domestic pig,Danish Landrace x Dutch Landrace,Unknown,26/08/2021,46.0,Nursery,Belgium,Yes,,,Denmark x Netherlands,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,Yes,No,,No,,No,No,Yes,Unknown,No,,,,Yes,Control,Solid,,,,,,,,,,,,,,,,,,Organic,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES02,,A few months -20°C,Sow number: 237,02BE05,1,1,cluster 6,0.990390684
02BE06,,,bc1007--bc1075,02BE,11/10/2021,Autumn,Belgium,Oost-Vlaanderen,Sus scrofa domesticus,Domestic pig,Danish Landrace x Dutch Landrace,Unknown,21/08/2021,51.0,Nursery,Belgium,Yes,,,Denmark x Netherlands,Commercial,Yes,General lean meat,Research farm,Small-scale,Inside,Yes,No,,No,,No,No,Yes,Unknown,No,,,,Yes,Control,Solid,,,,,,,,,,,,,,,,,,Organic,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMES02,,A few months -20°C,Sow number: 297,02BE06,1,5,cluster 6,0.994326083
